Symbol,Name,Exchange,Latest,Sector,Industry,"9M %Chg"
AAPL,"Apple Inc",NASDAQ,327.26,"Computers and Technology","Computer - Micro",+31.00%
ABNB,"Airbnb Inc Cl A",NASDAQ,148.91,"Consumer Discretionary","Leisure & Recreation Services",+20.72%
ADBE,"Adobe Systems Inc",NASDAQ,223.79,"Computers and Technology","Computer - Software",-32.17%
ADI,"Analog Devices",NASDAQ,389.16,"Computers and Technology","Semi Analog & Mixed",+62.35%
ADP,"Automatic Data Processing",NASDAQ,247.18,"Computers and Technology","Internet - Software",-12.69%
ADSK,"Autodesk Inc",NASDAQ,208.74,"Computers and Technology","Internet - Software",-31.60%
AEP,"American Electric Power",NASDAQ,133.48,Utilities,"Utility - Electric Power",+12.67%
ALAB,"Astera Labs Inc",NASDAQ,347.15,"Computers and Technology","Internet - Software",+113.83%
ALNY,"Alnylam Pharmaceuticals",NASDAQ,278.18,Medical,"Medical - Biomedical",-40.46%
AMAT,"Applied Materials",NASDAQ,574.97,"Computers and Technology","Electronics - Semiconductors",+149.87%
AMD,"Adv Micro Devices",NASDAQ,528.33,"Computers and Technology","Computer - Integrated Systems",+118.24%
AMGN,"Amgen Inc",NASDAQ,358.33,Medical,"Medical - Biomedical",+20.45%
AMZN,"Amazon.com Inc",NASDAQ,254.84,Retail-Wholesale,"Internet Commerce",+18.39%
APP,"Applovin Corp Cl A",NASDAQ,452.36,"Business Services","Technology Services",-24.83%
ARM,"Arm Holdings Plc ADR",NASDAQ,272.43,"Computers and Technology","Electronics - Semiconductors",+58.39%
ASML,"ASML Holding NV",NASDAQ,1782.2,"Computers and Technology","Semi-Eqpt Wafer Fabrication",+74.96%
AVGO,"Broadcom Ltd",NASDAQ,392.26,"Computers and Technology","Electronics - Semiconductors",+11.15%
AXON,"Axon Enterprise",NASDAQ,539.18,Aerospace,"Aerospace - Defense Equipment",-16.43%
BKNG,"Booking Holdings",NASDAQ,180.94,Retail-Wholesale,"Internet Commerce",-10.74%
BKR,"Baker Hughes Company",NASDAQ,56.59,Oils-Energy,"Oil - Field Services",+26.89%
CCEP,"Coca-Cola Europacific Partners Plc",NASDAQ,105.19,"Consumer Staples","Beverages - Soft",+18.45%
CDNS,"Cadence Design Sys",NASDAQ,371.16,"Computers and Technology","Computer - Software",+14.47%
CEG,"Constellation Energy Corp",NASDAQ,257.33,Oils-Energy,"Other Alt Energy",-36.41%
CMCSA,"Comcast Corp A",NASDAQ,23.5,"Consumer Discretionary","Cable TV",-20.96%
COST,"Costco Wholesale",NASDAQ,922.97,Retail-Wholesale,"Retail - Discount",-3.27%
CPRT,"Copart Inc",NASDAQ,27.69,"Business Services","Auction Valuation Services",-37.71%
CRWD,"Crowdstrike Holdings",NASDAQ,206.96,"Computers and Technology",Security,+69.52%
CRWV,"Coreweave Cl A",NASDAQ,77.03,"Computers and Technology","Internet - Software",-44.44%
CSCO,"Cisco Systems Inc",NASDAQ,111.74,"Computers and Technology","Computer - Networks",+60.43%
CSX,"CSX Corp",NASDAQ,49.19,Transportation,"Transportation - Rail",+35.25%
CTAS,"Cintas Corp",NASDAQ,191.58,"Consumer Staples","Textile - Apparel",+2.45%
DASH,"Doordash Cl A",NASDAQ,192.63,"Computers and Technology","Internet - Services",-28.80%
DDOG,"Datadog Cl A",NASDAQ,263.26,"Computers and Technology","Internet - Software",+64.22%
DXCM,"Dexcom Inc",NASDAQ,74.37,Medical,"Medical Instruments",+13.53%
EA,"Electronic Arts Inc",NASDAQ,207.37,"Consumer Discretionary",Gaming,+3.24%
EXC,"Exelon Corp",NASDAQ,46.38,Utilities,"Utility - Electric Power",-2.86%
FANG,"Diamondback Energy",NASDAQ,188.6,Oils-Energy,"Oil - US Exploration & Product",+33.10%
FAST,"Fastenal Company",NASDAQ,45.23,"Industrial Products","Industrial Services",+6.97%
FER,"Ferrovial N.V.",NASDAQ,64.25,"Industrial Products","Engineering & R&D Services",+3.88%
FTNT,"Fortinet Inc",NASDAQ,163.72,"Computers and Technology",Security,+95.92%
GEHC,"GE Healthcare Technologies",NASDAQ,63.69,Medical,"Medical Products",-13.48%
GILD,"Gilead Sciences Inc",NASDAQ,132.14,Medical,"Medical - Biomedical",+11.89%
GOOG,"Alphabet Cl C",NASDAQ,369.39,"Computers and Technology","Internet - Services",+46.99%
GOOGL,"Alphabet Cl A",NASDAQ,370.76,"Computers and Technology","Internet - Services",+48.00%
HON,"Honeywell International",NASDAQ,222.28,Conglomerates,"Conglomerates - Div Operations",+10.39%
HONA,"Honeywell Aerospace Inc",NASDAQ,213.96,Aerospace,"Aerospace - Defense Equipment",N/A
IDXX,"Idexx Laboratories",NASDAQ,565.61,Medical,"Medical Instruments",-11.81%
INTC,"Intel Corp",NASDAQ,101.96,"Computers and Technology","Semi General",+171.92%
INTU,"Intuit Inc",NASDAQ,279.6,"Computers and Technology","Computer - Software",-57.09%
ISRG,"Intuitive Surg Inc",NASDAQ,390.31,Medical,"Medical Instruments",-10.43%
KDP,"Keurig Dr Pepper Inc",NASDAQ,30.57,"Consumer Staples","Beverages - Soft",+13.61%
KHC,"Kraft Heinz Company",NASDAQ,25.32,"Consumer Staples","Food - Misc & Diversified",+0.52%
KLAC,"K L A-Tencor Corp",NASDAQ,221.5,"Computers and Technology","Electronics Products - Misc",+102.30%
LIN,"Linde Plc",NASDAQ,516.34,"Basic Materials","Chemical - Specialty",+14.16%
LITE,"Lumentum Holdings",NASDAQ,748.42,"Computers and Technology","Communications Components",+369.67%
LRCX,"Lam Research Corp",NASDAQ,329.5,"Computers and Technology","Electronics - Semiconductors",+126.34%
MAR,"Marriot Int Cl A",NASDAQ,369.62,"Consumer Discretionary","Hotels & Motels",+38.86%
MCHP,"Microchip Technology",NASDAQ,85.37,"Computers and Technology","Semi Analog & Mixed",+29.81%
MDLZ,"Mondelez Intl Inc",NASDAQ,58.68,"Consumer Staples","Food - Misc & Diversified",-4.74%
MELI,"Mercadolibre Inc",NASDAQ,1847.04,Retail-Wholesale,"Internet Commerce",-9.95%
META,"META Platforms Inc",NASDAQ,675.05,"Computers and Technology","Internet - Software",-5.95%
MNST,"Monster Beverage Corp",NASDAQ,98.57,"Consumer Staples","Beverages - Soft",+43.47%
MPWR,"Monolithic Power Sys",NASDAQ,1341.06,"Computers and Technology","Semi Analog & Mixed",+31.86%
MRVL,"Marvell Technology Inc",NASDAQ,206.77,"Computers and Technology","Electronics - Semiconductors",+131.45%
MSFT,"Microsoft Corp",NASDAQ,396.11,"Computers and Technology","Computer - Software",-22.89%
MSTR,"Strategy Inc",NASDAQ,98.4,Finance,"Finance - Misc Services",-66.79%
MU,"Micron Technology",NASDAQ,905.16,"Computers and Technology","Computer - Integrated Systems",+365.93%
NBIS,"Nebius Group N.V. Cl A",NASDAQ,195.9,"Computers and Technology","Internet Software Services",+55.99%
NFLX,"Netflix Inc",NASDAQ,73.77,"Consumer Discretionary","Broadcast - Radio & TV",-38.36%
NVDA,"Nvidia Corp",NASDAQ,209.11,"Computers and Technology","Semi General",+15.64%
NXPI,"Nxp Semiconductors",NASDAQ,279.34,"Computers and Technology","Semi Analog & Mixed",+27.95%
ODFL,"Old Dominion Freight Line",NASDAQ,226.63,Transportation,"Transportation - Truck",+66.92%
ORLY,"O'Reilly Automotive",NASDAQ,84.06,Retail-Wholesale,"Retail - Wholesale Auto Parts",-17.52%
PANW,"Palo Alto Networks",NASDAQ,355.37,"Computers and Technology",Security,+72.35%
PAYX,"Paychex Inc",NASDAQ,110.37,"Computers and Technology","Internet - Software",-12.85%
PCAR,"Paccar Inc",NASDAQ,123.53,Auto-Tires-Trucks,"Auto - Domestic",+28.76%
PDD,"Pdd Holdings Inc",NASDAQ,86.54,Retail-Wholesale,"Internet Commerce",-31.99%
PEP,"Pepsico Inc",NASDAQ,136.22,"Consumer Staples","Beverages - Soft",-10.10%
PLTR,"Palantir Technologies Cl A",NASDAQ,133.31,"Computers and Technology","Internet - Software",-25.48%
PYPL,"Paypal Holdings",NASDAQ,55.07,"Business Services","Financial Transaction Services",-18.95%
QCOM,"Qualcomm Inc",NASDAQ,177.78,"Computers and Technology","Electronics - Semiconductors",+8.19%
REGN,"Regeneron Pharmaceuticals",NASDAQ,663.04,Medical,"Medical - Biomedical",+15.24%
RKLB,"Rocket Lab Corp",NASDAQ,76.42,Aerospace,"Aerospace - Defense Equipment",+9.76%
ROP,"Roper Industries",NASDAQ,349.2,"Computers and Technology","IT Services",-30.16%
ROST,"Ross Stores Inc",NASDAQ,226.54,Retail-Wholesale,"Retail - Discount",+44.33%
SBUX,"Starbucks Corp",NASDAQ,106.4,Retail-Wholesale,"Retail - Restaurants",+28.51%
SHOP,"Shopify Inc",NASDAQ,124.5,"Computers and Technology","Internet - Services",-20.00%
SNDK,"Sandisk Corp",NASDAQ,1599.24,"Computers and Technology","Computer - Storage Devices",+964.99%
SNPS,"Synopsys Inc",NASDAQ,421.43,"Computers and Technology","Computer - Software",-3.14%
SPCX,"SpaceX Corp",NASDAQ,134.69,Utilities,"Wireless National",N/A
STX,"Seagate Technology Holdings",NASDAQ,811.81,"Computers and Technology","Computer - Integrated Systems",+265.22%
TER,"Teradyne Inc",NASDAQ,336.31,"Computers and Technology","Electronics Products - Misc",+134.33%
TMUS,"T-Mobile US",NASDAQ,187.94,Utilities,"Wireless National",-16.93%
TRI,"Thomson Reuters Corp",NASDAQ,95.33,"Business Services","Business Services",-39.28%
TSLA,"Tesla Inc",NASDAQ,397.75,Auto-Tires-Trucks,"Auto - Domestic",-9.59%
TTWO,"Take-Two Interactive",NASDAQ,243.09,"Consumer Discretionary",Gaming,-6.54%
TXN,"Texas Instruments",NASDAQ,299.96,"Computers and Technology","Semi General",+69.63%
VRTX,"Vertex Pharmaceutic",NASDAQ,478.09,Medical,"Medical - Biomedical",+17.75%
WBD,"Discovery Inc Series A",NASDAQ,27.17,"Consumer Discretionary","Broadcast - Radio & TV",+47.59%
WDAY,"Workday Inc",NASDAQ,142.02,"Computers and Technology","Internet - Software",-39.27%
WDC,"Western Digital Corp",NASDAQ,508.57,"Computers and Technology","Computer - Storage Devices",+317.55%
WMT,"Walmart Inc",NASDAQ,113.97,Retail-Wholesale,"Retail - Supermarket",+4.73%
XEL,"XCEL Energy Inc",NASDAQ,79.45,Utilities,"Utility - Electric Power",-2.54%
"Downloaded from Barchart.com as of 07-15-2026 12:45pm CDT"
