Symbol,Name,Exchange,Latest,Sector,Industry,"9M %Chg"
A,"Agilent Technologies",NYSE,135.08,Medical,"Medical Products",-3.84%
AAPL,"Apple Inc",NASDAQ,327.33,"Computers and Technology","Computer - Micro",+31.53%
ABBV,"Abbvie Inc",NYSE,246.77,Medical,"Large Cap Pharma",+9.13%
ABNB,"Airbnb Inc Cl A",NASDAQ,149.04,"Consumer Discretionary","Leisure & Recreation Services",+20.81%
ABT,"Abbott Laboratories",NYSE,88.97,Medical,"Medical Products",-31.21%
ACGL,"Arch Capital Grp Ltd",NASDAQ,98.42,Finance,"Insurance - Proprty & Casualty",+10.72%
ACN,"Accenture Plc",NYSE,137.91,"Computers and Technology","IT Services",-42.16%
ADBE,"Adobe Systems Inc",NASDAQ,224.11,"Computers and Technology","Computer - Software",-31.91%
ADI,"Analog Devices",NASDAQ,389.01,"Computers and Technology","Semi Analog & Mixed",+61.99%
ADM,"Archer Daniels Midland",NYSE,82.05,"Consumer Staples","Agriculture Operations",+29.38%
ADP,"Automatic Data Processing",NASDAQ,247.35,"Computers and Technology","Internet - Software",-12.41%
ADSK,"Autodesk Inc",NASDAQ,208.72,"Computers and Technology","Internet - Software",-31.72%
AEE,"Ameren Corp",NYSE,112.03,Utilities,"Utility - Electric Power",+6.86%
AEP,"American Electric Power",NASDAQ,133.4,Utilities,"Utility - Electric Power",+12.82%
AES,"The Aes Corp",NYSE,14.81,Utilities,"Utility - Electric Power",+0.31%
AFL,"Aflac Inc",NYSE,121.72,Finance,"Insurance - Accident & Health",+11.32%
AIG,"American International Group",NYSE,76.86,Finance,"Insurance - Multi Line",-4.68%
AIZ,"Assurant Inc",NYSE,273.73,Finance,"Insurance - Multi Line",+27.97%
AJG,"Arthur J. Gallagher & Company",NYSE,249.46,Finance,"Insurance - Brokers",-15.36%
AKAM,"Akamai Technologies",NASDAQ,119.57,"Computers and Technology","Internet - Services",+61.95%
ALB,"Albemarle Corp",NYSE,123.91,"Basic Materials","Chemical - Diversified",+25.60%
ALGN,"Align Technology",NASDAQ,181.01,Medical,"Medical - Dental Suppliers",+40.15%
ALL,"Allstate Corp",NYSE,239.9,Finance,"Insurance - Proprty & Casualty",+20.30%
ALLE,"Allegion Plc",NYSE,136.05,"Industrial Products","Protection - Safety",-23.42%
AMAT,"Applied Materials",NASDAQ,573.27,"Computers and Technology","Electronics - Semiconductors",+148.16%
AMCR,"Amcor Plc",NYSE,43.23,"Industrial Products","Containers - Paper Products",+7.16%
AMD,"Adv Micro Devices",NASDAQ,527.73,"Computers and Technology","Computer - Integrated Systems",+117.38%
AME,"Ametek Inc",NYSE,233.75,"Computers and Technology","Electronic Test Equipment",+24.78%
AMGN,"Amgen Inc",NASDAQ,358.09,Medical,"Medical - Biomedical",+20.51%
AMP,"Ameriprise Financial Services",NYSE,530.52,Finance,"Finance - Investment Mgmt",+10.30%
AMT,"American Tower Corp",NYSE,168.92,Finance,"REIT - Equity Trust Other",-11.18%
AMZN,"Amazon.com Inc",NASDAQ,255.13,Retail-Wholesale,"Internet Commerce",+18.52%
ANET,"Arista Networks Inc",NYSE,169.92,"Computers and Technology","Internet - Software",+17.79%
AON,"AON Plc",NYSE,356.86,Finance,"Insurance - Brokers",+0.80%
AOS,"Smith A.O. Corp",NYSE,60.1,"Industrial Products","Machinery - Electrical",-13.11%
APA,"Apa Corp",NASDAQ,33.84,Oils-Energy,"Oil - US Exploration & Product",+45.72%
APD,"Air Products and Chemicals",NYSE,293.81,"Basic Materials","Chemical - Diversified",+14.08%
APH,"Amphenol Corp",NYSE,157.54,"Computers and Technology","Electronics - Connectors",+23.65%
APO,"Apollo Asset Management",NYSE,122.09,Finance,"Finance - Investment Mgmt",-3.47%
APP,"Applovin Corp Cl A",NASDAQ,453.31,"Business Services","Technology Services",-25.05%
APTV,"Aptiv Plc",NYSE,58.97,"Business Services","Technology Services",-29.53%
ARE,"Alexandria Real Estate Equities",NYSE,48.89,Finance,"REIT - Equity Trust Other",-36.32%
ARES,"Ares Management LP",NYSE,124.78,Finance,"Finance - Investment Mgmt",-16.85%
ATO,"Atmos Energy Corp",NYSE,176.4,Utilities,"Utility - Gas Distribution",-1.09%
AVB,"Avalonbay Communities",NYSE,191.48,Finance,"REIT - Equity Trust Resident",+4.39%
AVGO,"Broadcom Ltd",NASDAQ,392.19,"Computers and Technology","Electronics - Semiconductors",+10.93%
AVY,"Avery Dennison Corp",NYSE,157.16,"Industrial Products","Containers - Paper Products",-1.83%
AWK,"American Water Works",NYSE,130.76,Utilities,"Utility - Water Supply",-7.89%
AXON,"Axon Enterprise",NASDAQ,539.93,Aerospace,"Aerospace - Defense Equipment",-16.22%
AXP,"American Express Company",NYSE,361.59,Finance,"Finance - Misc Services",+9.31%
AZO,Autozone,NYSE,3005.11,Retail-Wholesale,"Retail - Wholesale Auto Parts",-25.84%
BA,"Boeing Company",NYSE,219.65,Aerospace,"Aerospace - Defense",+2.04%
BAC,"Bank of America Corp",NYSE,61.5,Finance,"Finance - Investment Brokers",+17.66%
BALL,"Ball Corporation",NYSE,60.85,"Industrial Products","Containers - Metal & Glass",+27.32%
BAX,"Baxter International",NYSE,22.3,Medical,"Medical Products",-1.63%
BBY,"Best Buy Company",NYSE,85.86,Retail-Wholesale,"Retail - Consumer Electronics",+9.58%
BDX,"Becton Dickinson and Company",NYSE,155.79,Medical,"Medical - Dental Suppliers",+6.07%
BEN,"Franklin Resources",NYSE,33.64,Finance,"Finance - Investment Mgmt",+48.07%
BF.B,"Brown Forman Cl B",NYSE,25.12,"Consumer Staples","Beverages - Alcohol",-7.77%
BG,"Bunge Ltd",NYSE,115.73,"Basic Materials","Agriculture Products",+24.16%
BIIB,"Biogen Inc",NASDAQ,196.26,Medical,"Medical - Biomedical",+36.13%
BKNG,"Booking Holdings",NASDAQ,181.13,Retail-Wholesale,"Internet Commerce",-10.89%
BKR,"Baker Hughes Company",NASDAQ,56.55,Oils-Energy,"Oil - Field Services",+26.89%
BLDR,"Builders Firstsource",NYSE,75.76,Retail-Wholesale,"Building Prds Retail - Wsale",-40.25%
BLK,"Blackrock Inc",NYSE,1091.7,Finance,"Finance - Investment Mgmt",-8.56%
BMY,"Bristol-Myers Squibb Company",NYSE,58.34,Medical,"Medical - Biomedical",+34.05%
BNY,"Bank of New York Mellon Corp",NYSE,159.11,Finance,"Banks - Major Regional",+46.14%
BR,"Broadridge Financial Solutions",NYSE,148.09,"Computers and Technology","Internet - Software",-35.84%
BRK.B,"Berkshire Hathaway Cl B",NYSE,490.12,Finance,"Insurance - Proprty & Casualty",-1.20%
